IP Address,MAC Address,Host Name,Status,Device Type,DNS Status,Last Alive Time,Location,Description
"192.168.10.121",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.122",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.123",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.124",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.125",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.126",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.127",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.128",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.129",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.13",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.130",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.131",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.132",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.133",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.134",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.135",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.136",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.137",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.138",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.139",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.14",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.140",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.141",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.142",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.143",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.144",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.145",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.146",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.147",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.148",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.149",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.15",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A","HQ DC",-
"192.168.10.150",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.151",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.152",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.153",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.154",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.155",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.156",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.157",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.158",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.159",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.16",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.160",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.161",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.162",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.163",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.164",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.165",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.166",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.167",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.168",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.169",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.17",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.170",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.171",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.172",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.173",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.174",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.175",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.176",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.177",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.178",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.179",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.18",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.180",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.181",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.182",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.183",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.184",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.185",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.186",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.187",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.188",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.189",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.19",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.190",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.191",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.192",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.193",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.194",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.195",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.196",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.197",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.198",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.199",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.2",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.20",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.200",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.201",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.202",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.203",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.204",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.205",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.206",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.207",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.208",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.209",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.21",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.210",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.211",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.212",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.213",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.214",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.215",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.216",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.217",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.218",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.219",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.22",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.220",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.221",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.222",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.223",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.224",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.225",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.226",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.227",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.228",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.229",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.23",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.230",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.231",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.232",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.233",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.234",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.235",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.236",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.237",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.238",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.239",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.24",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.240",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.241",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.242",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.243",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.244",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.245",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.246",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.247",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.248",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.249",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.25",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.250",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.251",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.252",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.253",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.254",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.26",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.27",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.28",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.29",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.3",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.30",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.31",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.32",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.33",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.34",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.35",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.36",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.37",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.38",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.39",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.4",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.40",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.41",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.42",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.43",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.44",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.45",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.46",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.47",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.48",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.49",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.5",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.50",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.51",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.52",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.53",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.54",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.55",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.56",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.57",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.58",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.59",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.6",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.60",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.61",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.62",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.63",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.64",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.65",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.66",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.67",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.68",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.69",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.7",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.70",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.71",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.72",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.73",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.74",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.75",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.76",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.77",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.78",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.79",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.8",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.80",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.81",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.82",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.83",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.84",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.85",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.86",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.87",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.88",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.89",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.9",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.90",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.91",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.92",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.93",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.94",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.95",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.96",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.97",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.98",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.10.99",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"192.168.1.30","00:11:22:33:44:55","test-host","AVAILABLE","Server","Forward & Reverse OK","N/A",-,"Imported test"
